,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
395,Gujarat,2021,1,Peer-to-peer payments,36427493,144818968373.02933
396,Gujarat,2021,1,Merchant payments,35815382,26512643894.003174
397,Gujarat,2021,1,Recharge & bill payments,22088838,11996115292.377842
398,Gujarat,2021,1,Financial Services,126380,137612317.73580322
399,Gujarat,2021,1,Others,316472,235440836.3042438
400,Gujarat,2022,2,Merchant payments,131610193,95585623258.23604
401,Gujarat,2022,2,Peer-to-peer payments,86423696,326945780476.59766
402,Gujarat,2022,2,Recharge & bill payments,33424931,23844933238.40894
403,Gujarat,2022,2,Financial Services,125180,142685436.4192669
404,Gujarat,2022,2,Others,468796,278978567.1836352
405,Gujarat,2022,4,Merchant payments,186533503,125585214989.03009
406,Gujarat,2022,4,Peer-to-peer payments,114868478,411053364214.2685
407,Gujarat,2022,4,Recharge & bill payments,39167297,30789927498.953297
408,Gujarat,2022,4,Financial Services,179101,194314203.00804448
409,Gujarat,2022,4,Others,407639,295484431.2780074
410,Gujarat,2022,3,Merchant payments,161264265,109018764232.99393
411,Gujarat,2022,3,Peer-to-peer payments,103034790,359338045092.0105
412,Gujarat,2022,3,Recharge & bill payments,38383683,28649040040.502144
413,Gujarat,2022,3,Financial Services,152053,162173602.84596294
414,Gujarat,2022,3,Others,404941,269479241.0969004
415,Gujarat,2022,1,Merchant payments,101648378,79563412221.78397
416,Gujarat,2022,1,Peer-to-peer payments,77768758,292439274688.30835
417,Gujarat,2022,1,Recharge & bill payments,30473298,20042066374.66357
418,Gujarat,2022,1,Financial Services,160423,187077879.38466492
419,Gujarat,2022,1,Others,496289,316261089.4073821
420,Gujarat,2020,2,Recharge & bill payments,19971660,8322688556.990006
421,Gujarat,2020,2,Peer-to-peer payments,17569398,64723140394.22913
422,Gujarat,2020,2,Merchant payments,9645967,7196610931.561442
423,Gujarat,2020,2,Financial Services,59617,53132341.305008195
424,Gujarat,2020,2,Others,173543,92274135.40504411
